property,label,description
http://purl.obolibrary.org/obo/BFO_0000050,part of,a core relation that holds between a part and its whole
http://purl.obolibrary.org/obo/BFO_0000051,has part,a core relation that holds between a whole and its part
http://purl.obolibrary.org/obo/BFO_0000054,realized in,
http://purl.obolibrary.org/obo/BFO_0000055,realizes,
http://purl.obolibrary.org/obo/BFO_0000060,obsolete preceded by,
http://purl.obolibrary.org/obo/BFO_0000062,preceded by,"x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point."
http://purl.obolibrary.org/obo/BFO_0000063,precedes,"x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point."
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t
http://purl.obolibrary.org/obo/BFO_0000067,contains process,[copied from inverse property 'occurs in'] b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t
http://purl.obolibrary.org/obo/ENVO_01003004,derives from part of,"A relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist through the separation or transformation of a part of the old entity, and the new entity inherits a significant portion of the matter belonging to that part of the old entity."
http://purl.obolibrary.org/obo/RO_0000052,characteristic of,"a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence."
http://purl.obolibrary.org/obo/RO_0000053,has characteristic,Inverse of characteristic_of
http://purl.obolibrary.org/obo/RO_0000056,participates in,"a relation between a continuant and a process, in which the continuant is somehow involved in the process"
http://purl.obolibrary.org/obo/RO_0000057,has participant,"a relation between a process and a continuant, in which the continuant is somehow involved in the process"
http://purl.obolibrary.org/obo/RO_0000058,is concretized as,"A relationship between a generically dependent continuant and a specifically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. A generically dependent continuant may be concretized as multiple specifically dependent continuants."
http://purl.obolibrary.org/obo/RO_0000059,concretizes,"A relationship between a specifically dependent continuant and a generically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. Multiple specifically dependent continuants can concretize the same generically dependent continuant."
http://purl.obolibrary.org/obo/RO_0000079,function of,"a relation between a function and an independent continuant (the bearer), in which the function specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000080,quality of,"a relation between a quality and an independent continuant (the bearer), in which the quality specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000081,role of,"a relation between a role and an independent continuant (the bearer), in which the role specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000085,has function,"a relation between an independent continuant (the bearer) and a function, in which the function specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000086,has quality,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000087,has role,"a relation between an independent continuant (the bearer) and a role, in which the role specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000091,has disposition,"a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence"
http://purl.obolibrary.org/obo/RO_0000092,disposition of,inverse of has disposition
http://purl.obolibrary.org/obo/RO_0000300,obsolete in neural circuit with,"OBSOLETE A relation that holds between two neurons connected directly via a synapse, or indirectly via a series of synaptically connected neurons."
http://purl.obolibrary.org/obo/RO_0000301,obsolete upstream in neural circuit with,"OBSOLETE A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next, in which the direction is from the last to the first."
http://purl.obolibrary.org/obo/RO_0000302,obsolete downstream in neural circuit with,"OBSOLETE A relation that holds between a neuron that is synapsed_by another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_by the next, in which the direction is from the last to the first."
http://purl.obolibrary.org/obo/RO_0001000,derives from,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity"
http://purl.obolibrary.org/obo/RO_0001001,derives into,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity"
http://purl.obolibrary.org/obo/RO_0001015,location of,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location"
http://purl.obolibrary.org/obo/RO_0001018,obsolete contained in,
http://purl.obolibrary.org/obo/RO_0001019,obsolete contains,
http://purl.obolibrary.org/obo/RO_0001020,is allergic trigger for,"A relation between a material entity and a condition (a phenotype or disease) of a host, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity."
http://purl.obolibrary.org/obo/RO_0001021,is autoimmune trigger for,"A relation between a material entity and a condition (a phenotype or disease) of a host, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity."
http://purl.obolibrary.org/obo/RO_0001022,has allergic trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity."
http://purl.obolibrary.org/obo/RO_0001023,has autoimmune trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity."
http://purl.obolibrary.org/obo/RO_0001025,located in,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location"
http://purl.obolibrary.org/obo/RO_0002000,2D boundary of,"a relation between a 2D immaterial entity (the boundary) and a material entity, in which the boundary delimits the material entity"
http://purl.obolibrary.org/obo/RO_0002001,aligned with,
http://purl.obolibrary.org/obo/RO_0002002,has 2D boundary,"a relation between a material entity and a 2D immaterial entity (the boundary), in which the boundary delimits the material entity"
http://purl.obolibrary.org/obo/RO_0002003,electrically_synapsed_to,A relation that holds between two neurons that are electrically coupled via gap junctions.
http://purl.obolibrary.org/obo/RO_0002004,tracheates,The relationship that holds between a trachea or tracheole and an antomical structure that is contained in (and so provides an oxygen supply to).
http://purl.obolibrary.org/obo/RO_0002005,innervated_by,
http://purl.obolibrary.org/obo/RO_0002006,has synaptic terminal of,
http://purl.obolibrary.org/obo/RO_0002007,bounding layer of,"X outer_layer_of Y iff:
. X :continuant that bearer_of some PATO:laminar
. X part_of Y
. exists Z :surface
. X has_boundary Z
. Z boundary_of Y

has_boundary: http://purl.obolibrary.org/obo/RO_0002002
boundary_of: http://purl.obolibrary.org/obo/RO_0002000"
http://purl.obolibrary.org/obo/RO_0002008,coincident with,A relation that holds between two linear structures that are approximately parallel to each other for their entire length and where either the two structures are adjacent to each other or one is part of the other.
http://purl.obolibrary.org/obo/RO_0002009,cell expresses,"A relation that applies between a cell(c) and a gene(g) , where the process of 'transcription, DNA templated (GO_0006351)' is occuring in in cell c and that process has input gene g."
http://purl.obolibrary.org/obo/RO_0002010,regulates in another organism,"x 'regulates in other organism' y if and only if: (x is the realization of a function to exert an effect on the frequency, rate or extent of y) AND (the agents of x are produced by organism o1 and the agents of y are produced by organism o2)."
http://purl.obolibrary.org/obo/RO_0002011,regulates transport of,A relationship that holds between a  process that regulates a transport process and the entity transported by that process.
http://purl.obolibrary.org/obo/RO_0002012,occurrent part of,A part of relation that applies only between occurrents.
http://purl.obolibrary.org/obo/RO_0002013,has regulatory component activity,"A 'has regulatory component activity' B if A and B are GO molecular functions (GO_0003674), A has_component B and A is regulated by B."
http://purl.obolibrary.org/obo/RO_0002014,has negative regulatory component activity,"A relationship that holds between a GO molecular function and a component of that molecular function that negatively regulates the activity of the whole.  More formally, A 'has regulatory component activity' B iff :A and B are GO molecular functions (GO_0003674), A has_component B and A is negatively regulated by B."
