property,label,description,example
BFO.0000050,part of,a core relation that holds between a part and its whole,
BFO.0000051,has part,a core relation that holds between a whole and its part,
BFO.0000054,realized in,,
BFO.0000055,realizes,,
BFO.0000062,preceded by,"x is preceded by y if and only if the time point at which y ends is before or equivalent to the time point at which x starts. Formally: x preceded by y iff ω(y) <= α(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
BFO.0000063,precedes,"x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
BFO.0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,
BFO.0000067,contains process,[copied from inverse property 'occurs in'] b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t,
ENVO.01003004,derives from part of,"A relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist through the separation or transformation of a part of the old entity, and the new entity inherits a significant portion of the matter belonging to that part of the old entity.",
PEL.000000,activates,"convert (something, such as a provitamin) into a biologically active derivative",
PEL.000001,actuates,cause to act in a particular way; motivate,
PEL.000002,associates,combine or join with other parts,
PEL.000003,causes,make happen,
PEL.000004,constrains,"severely restrict the scope, extent, or activity of",
PEL.000005,controls,determine the behaviour or supervise the running of,
PEL.000006,degrades,break down or deteriorate chemically,
PEL.000007,destroys,end the existence of something by damaging or attacking it,
PEL.000008,directs,control the operations of; manage or govern,
PEL.000009,downregulates,"lower the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by downregulation",
PEL.000010,enhances,"intensify, increase, or further improve the quality",
PEL.000011,facilitates,make (an action or process) easy or easier,
PEL.000012,forces,make something happen,
PEL.000013,hinders,make it difficult for something to happen,
